unseen:1 epoch:0 acc: 23.6111  recall: 23.6111  f1: 19.5817  preci: 23.5931  kappa: -1.8519 
unseen:1 epoch:1 acc: 30.9028  recall: 30.9028  f1: 29.0015  preci: 30.7242  kappa: 7.8704 
unseen:1 epoch:2 acc: 31.5972  recall: 31.5972  f1: 29.4907  preci: 35.1278  kappa: 8.7963 
unseen:1 epoch:3 acc: 28.4722  recall: 28.4722  f1: 27.7180  preci: 28.4400  kappa: 4.6296 
unseen:1 epoch:4 acc: 35.7639  recall: 35.7639  f1: 34.2357  preci: 36.9165  kappa: 14.3519 
unseen:1 epoch:5 acc: 35.7639  recall: 35.7639  f1: 34.3919  preci: 34.9076  kappa: 14.3519 
unseen:1 epoch:6 acc: 37.8472  recall: 37.8472  f1: 36.6495  preci: 37.9473  kappa: 17.1296 
unseen:1 epoch:7 acc: 40.6250  recall: 40.6250  f1: 40.2015  preci: 40.8288  kappa: 20.8333 
unseen:1 epoch:8 acc: 38.5417  recall: 38.5417  f1: 38.6676  preci: 43.5897  kappa: 18.0556 
unseen:1 epoch:9 acc: 46.1806  recall: 46.1806  f1: 45.5542  preci: 46.1375  kappa: 28.2407 
unseen:1 epoch:10 acc: 49.6528  recall: 49.6528  f1: 48.8902  preci: 50.6727  kappa: 32.8704 
unseen:1 epoch:11 acc: 51.0417  recall: 51.0417  f1: 51.0241  preci: 51.5733  kappa: 34.7222 
unseen:1 epoch:12 acc: 50.3472  recall: 50.3472  f1: 50.3853  preci: 53.2879  kappa: 33.7963 
unseen:1 epoch:13 acc: 50.0000  recall: 50.0000  f1: 47.4635  preci: 54.2216  kappa: 33.3333 
unseen:1 epoch:14 acc: 53.4722  recall: 53.4722  f1: 52.7049  preci: 56.0457  kappa: 37.9630 
unseen:1 epoch:15 acc: 53.8194  recall: 53.8194  f1: 52.9025  preci: 55.3522  kappa: 38.4259 
unseen:1 epoch:16 acc: 54.5139  recall: 54.5139  f1: 52.7487  preci: 54.3250  kappa: 39.3519 
unseen:1 epoch:17 acc: 55.2083  recall: 55.2083  f1: 53.9559  preci: 55.8135  kappa: 40.2778 
unseen:1 epoch:18 acc: 56.5972  recall: 56.5972  f1: 54.7895  preci: 55.7196  kappa: 42.1296 
unseen:1 epoch:19 acc: 56.2500  recall: 56.2500  f1: 54.6065  preci: 58.3045  kappa: 41.6667 
unseen:1 epoch:20 acc: 56.2500  recall: 56.2500  f1: 56.0592  preci: 58.6493  kappa: 41.6667 
unseen:1 epoch:21 acc: 56.2500  recall: 56.2500  f1: 55.1271  preci: 57.8172  kappa: 41.6667 
unseen:1 epoch:22 acc: 54.5139  recall: 54.5139  f1: 53.0887  preci: 55.1592  kappa: 39.3519 
unseen:1 epoch:23 acc: 60.4167  recall: 60.4167  f1: 58.6514  preci: 58.9287  kappa: 47.2222 
unseen:1 epoch:24 acc: 56.5972  recall: 56.5972  f1: 54.9867  preci: 56.4711  kappa: 42.1296 
unseen:1 epoch:25 acc: 56.5972  recall: 56.5972  f1: 55.2554  preci: 63.5527  kappa: 42.1296 
unseen:1 epoch:26 acc: 60.7639  recall: 60.7639  f1: 60.0080  preci: 61.3401  kappa: 47.6852 
